adTitle,price,description,userId,location,brand,category,date,images,_id
Samsung Galaxy S10 Black Sprint AT&T T-Mobile Verizon Factory Unlocked VERY GOOD,23900,"Item specifics
Condition:
Very Good - Refurbished:
The item shows minimal wear and is backed by a one year warranty. It is fully functional and has been professionally refurbished, inspected and cleaned to very good condition by qualified sellers. The item includes original or new accessories and will come in new generic packaging. See the seller's listing for full details. See all condition definitions
opens in a new window or tab
Seller Notes:
“We're a Samsung Certified USA Seller. Prism Black 128GB Samsung Galaxy S10 G973U - Unlocked - In Very Good Condition - See below description for more details. Comes in a new box with a brand new 2-Piece Fast Charge Charger and a sim tray removal tool. Fully Tested, Clean ESN/IMEI Verified, and Ready for Activation. Every device is fully tested by one of our professionally certified mobile phone technicians to guarantee they're 100% fully functional and operating just like new. Check our store ratings to see what our customers have to say about us and our products! Please message with any questions you may have!”
Camera Resolution:
16.0 MP
Model:
Samsung Galaxy S10
Country/Region of Manufacture:
Vietnam
Operating System:
Android
Contract:
Without Contract
Style:
Bar
Custom Bundle:
Yes
Cellular Band:
GSM + CDMA 4G LTE Unlocked
Connectivity:
2G, 3G, 4G, 4G+, 5G, Bluetooth, DLNA, Dual-Band, GPRS, GPS, LTE, NFC, USB Type-C, WAP, Wi-Fi
Features:
4K Video Recording, Accelerometer, Ambient Light Sensor, AMOLED Display, ANT+, Camera, Fast Charging, Fast Wireless Charging, Fingerprint Sensor, Global Ready, MMS (Multimedia Messaging), Speakerphone, Video Calling, Water-Resistant, Wi-Fi Capable
Model Number:
SM-G973U
RAM:
8 GB
Color:
Black
Lock Status:
Factory Unlocked
MPN:
SM-G973U
Manufacturer Color:
Prism Black
Storage Capacity:
128 GB
Chipset Model:
Qualcomm Snapdragon 855
SIM Card Slot:
Single SIM
Brand:
Samsung
Memory Card Type:
microSDXC
Manufacturer Warranty:
1 Year
Processor:
Octa Core
Screen Size:
6.1 in
Bundle Description:
See below description under ""What's Included with your S10?"" for details.",6261455381bf2a3686a48948,"Bhaktapur, Thimi",Apple,mobiles,08/04/2021 16:50,https://res.cloudinary.com/xchange01/image/upload/v1651846090/DEV/1651846085543.jpg,62627d66ae816a08e0275ff0
Samsung Galaxy S8 G950U 64GB Unlocked (VERY GOOD CONDITION),23900,"Item specifics
Condition:
Very Good - Refurbished:
The item shows minimal wear and is backed by a one year warranty. It is fully functional and has been professionally refurbished, inspected and cleaned to very good condition by qualified sellers. The item includes original or new accessories and will come in new generic packaging. See the seller's listing for full details. See all condition definitions
opens in a new window or tab
Seller Notes:
“OVERALL GOOD CONDITION. MAY HAVE MINOR SCRUFFS OR SCRATCHES. CHARGER AND CABLE INCLUDED.”
Camera Resolution:
12.8.MP
Model:
Galaxy S8 G950U
Operating System:
Android
Contract:
Without Contract
Style:
Bar
Cellular Band:
GSM/Unlocked
Features:
Internet Browser, Near Field Communication, Touchscreen, 3G Data Capable, 4G Data Capable, Bluetooth Enabled, Global Ready, GPS, Music Player, Speakerphone, TTY Compatible, Voice-Activated Dialing, Wi-Fi Capable
Model Number:
SM-G950U
Lock Status:
unlocked
MPN:
SM-G950U
Network:
Verizon Unlocked, Unlocked
Storage Capacity:
64GB
SIM Card Slot:
Single SIM
Brand:
Samsung
Memory Card Type:
MicroSD
Screen Size:
5.8""",6261455381bf2a3686a48948,"Bhaktapur, Thimi",Apple,mobiles,08/04/2021 16:50,https://res.cloudinary.com/xchange01/image/upload/v1651846090/DEV/1651846085543.jpg,62627d669cf1e5ba7bdbe9e2
2022 Factory Unlocked Android Cheap Cell Phone Smartphone Dual SIM USA Quad Core,23900,"Item specifics
Condition:
New: A brand-new, unused, unopened, undamaged item in its original packaging (where packaging is ... Read more
about the condition
Brand:
XGODY
Model:
Does Not Apply
MPN:
Does Not Apply
Color:
Blue Purple
Storage Capacity:
8 GB (TFCard Up to 32 GB / 64 GB / 128 GB )
Network:
Unlocked
Manufacturer Color:
Blue Purple
Bundle Listing:
No
Style:
Bar
Contract:
Without Contract
Features:
3G Data Capable, Dual SIM, Internet Browser, Touchscreen, Bluetooth Enabled, Front Camera, GPS, Music Player, Rear Camera, Speakerphone, Wi-Fi Capable
Camera Resolution:
5.0MP
Operating System:
Android
Cellular Band:
2G(GSM 850/900/1800/1900MHz) 3G(WCDMA 850/2100MHz)
Screen Size:
5.5 in
Lock Status:
Factory Unlocked
Memory Card Type:
MicroSD
Model Number:
No
Processor:
Quad Core
RAM:
1 GB
Custom Bundle:
No
Modified Item:
No
Connectivity:
USB, 2G, 3G, Bluetooth, GPS, Wi-Fi
Manufacturer Warranty:
1 year
SIM Card Slot:
Dual SIM
Bundled Items:
Case, HD Film, Tempered Film
Notice 1:
Just Support AT&t T-Mobile Carrier
Notice 2:
Is a 3G Phone, NOT SUPPORT 4G
UPC:
Does not apply
Warehouse Location:
United States
Package:
1*HD Film, 1*Tempered Film, 1*Case, 1*US Plug",6261455381bf2a3686a48948,"Bhaktapur, Thimi",Apple,mobiles,08/04/2021 16:50,https://res.cloudinary.com/xchange01/image/upload/v1651846090/DEV/1651846085543.jpg,62627d66db29901036968ed2
Google Pixel 3 - 64GB - Black White Pink (Unlocked) C Stock,23900,"Item specifics
Condition:
Used: An item that has been used previously. The item may have some signs of cosmetic wear, but is ... Read more
about the condition
Model:
Google Pixel 3
Color:
Pink
Network:
Unlocked
Storage Capacity:
64 GB
Brand:
Google",6261455381bf2a3686a48948,"Bhaktapur, Thimi",Apple,mobiles,08/04/2021 16:50,https://res.cloudinary.com/xchange01/image/upload/v1651846090/DEV/1651846085543.jpg,62627d664bee8a2d8f840b31
Samsung Galaxy S9 | S9 Plus - 64GB (Unlocked) Verizon AT&T T-Mobile Sprint,23900,"Item specifics
Condition:
Open box:
An item in excellent, new condition with no wear. The item may be missing the original packaging or protective wrapping, or may be in the original packaging but not sealed. The item includes original accessories. The item may be a factory second. See the seller's listing for full details and description. See all condition definitions
opens in a new window or tab
Seller Notes:
“CDMA & GSM Carrier Unlocked Samsung Galaxy S9(G960) & S9+(G965). Comes with Cosmetic conditions described below: These phones have been verified for full functionality with our In-House Certified Testing Equipment & Fully Trained Technicians to ensure complete customer satisfaction. These phones have fully passed our 38-Point Functionality Inspection. Comes with Charging Cable and wall Cube.”
Processor:
Octa Core
Screen Size:
6.2 in
Chipset Model:
Qualcomm Snapdragon 845
Memory Card Type:
MicroSD
Model Number:
SM-G960U, SM-G965U
Lock Status:
Network Unlocked
Cellular Band:
GSM 850
SIM Card Slot:
Single SIM
Brand:
Samsung
Manufacturer Warranty:
None
Network:
Unlocked
Connectivity:
4G, Bluetooth, GPS
Operating System:
Android
Features:
4K Video Recording, Accelerometer, AMOLED Display
Storage Capacity:
64 GB
Country/Region of Manufacture:
Korea, Republic of
Contract:
Without Contract
Camera Resolution:
12.0 MP
RAM:
6 GB",6261455381bf2a3686a48948,"Bhaktapur, Thimi",Apple,mobiles,08/04/2021 16:50,https://res.cloudinary.com/xchange01/image/upload/v1651846090/DEV/1651846085543.jpg,62627d661dca158113c78f6a
2021 New Android Cheap Cell Phone Factory Unlocked Smartphone Dual SIM Quad Core,23900,"Item specifics
Condition:
New: A brand-new, unused, unopened, undamaged item in its original packaging (where packaging is ... Read more
about the condition
Camera Resolution:
5.0MP
Model:
J7
Country/Region of Manufacture:
China
Operating System:
Android
Contract:
Without Contract
Style:
Bar
Cellular Band:
3G( WCDMA 850/1900/2100MHz) 2G(GSM 850 / 900/1800 / 1900MHz)
Connectivity:
2G, 3G, Bluetooth, GPS
Features:
Internet Browser, 3G Data Capable, Touchscreen, Bluetooth Enabled, GPS, Music Player, Speakerphone, Wi-Fi Capable
MPN:
Does Not Apply
Network:
GSM Network,Dont support 4G network .
Notice:
Dont Support Sprint
Attention:
Dont support Straight Talk/Net 10 with verizon or sprint tower
CPU:
MTK6580A, Cortex A7 quad core, 1.3GHz
UPC:
Does not apply
Storage Capacity:
4GB
SIM Card Slot:
Dual SIM
Brand:
Unbranded
Memory Card Type:
MicroSD
Manufacturer Warranty:
1 year
EAN:
Does not apply
Packing List:
1xMobile Phone
Processor:
Quad Core
Screen Size:
5 in",6261455381bf2a3686a48948,"Bhaktapur, Thimi",Apple,mobiles,08/04/2021 16:50,https://res.cloudinary.com/xchange01/image/upload/v1651846090/DEV/1651846085543.jpg,62627d66c70b3eef7352039d
Samsung Galaxy S9 SM-G960U1- 64GB Purple Blue Black (Unlocked) B Shadow,23900,"Item specifics
Condition:
Used: An item that has been used previously. The item may have some signs of cosmetic wear, but is ... Read more
about the condition
Model:
Samsung Galaxy S9 SM-G960U
Operating System:
Android
Network:
Unlocked
Storage Capacity:
64 GB
Brand:
Samsung",6261455381bf2a3686a48948,"Bhaktapur, Thimi",Apple,mobiles,08/04/2021 16:50,https://res.cloudinary.com/xchange01/image/upload/v1651846090/DEV/1651846085543.jpg,62627d66c2415e899cadb87f
Samsung Galaxy S10+ Plus SM-G975U - 128GB - Prism Black Fully Unlocked Open Box,23900,"About this product
Product Identifiers
Brand
Samsung
MPN
SM-G975UZKAXAA, SMG975UZKAXAA
GTIN
0887276302065
UPC
0887276302065, 0647213739039
Model
Samsung Galaxy S10+
eBay Product ID (ePID)
16029464580
Product Key Features
SIM Card Slot
Single SIM
Network
Unlocked
Operating System
Android
Storage Capacity
128 GB
Color
Black
Model Number
SM-G975U
Connectivity
USB Type-C, Bluetooth, 4G, Wi-Fi, NFC, GPS
Contract
Without Contract
Processor
Octa Core
Lock Status
Factory Unlocked
Features
Water-Resistant, Front Camera, Facial Recognition, 4K Video Recording, Gyro Sensor, Accelerometer, Barometer, Fingerprint Sensor, Wireless Charging
Camera Resolution
12.0 MP
Screen Size
6.4 in
Memory Card Type
MicroSD
RAM
8 GB
Additional Product Features
Brand Color
Prism Black
Manufacturer Color
Prism Black
Sim Card Support
Single SIM",6261455381bf2a3686a48948,"Bhaktapur, Thimi",Apple,mobiles,08/04/2021 16:50,https://res.cloudinary.com/xchange01/image/upload/v1651846090/DEV/1651846085543.jpg,62627d6614118ebe70dff67b
Samsung Galaxy S20 FE 5G UW 128GB (Verizon) Cloud Navy LTE Smartphone SMG781VZBV,23900,"About this product
Product Identifiers
Brand
Samsung
MPN
SM-G781VZBAVZW
UPC
0887276455464
Model
Samsung Galaxy S20 FE 5G
eBay Product ID (ePID)
26041210699
Product Key Features
SIM Card Slot
Single SIM
Network
Verizon
Operating System
Android
Storage Capacity
128 GB
Color
Blue
Model Number
SM-G781U
Connectivity
USB Type-C, 5G, Bluetooth, Wi-Fi, NFC
Processor
Octa Core
Style
Bar
Features
Proximity Sensor, AMOLED Display, Gyro Sensor, Fast Wireless Charging, Infinity-O Display, Telephoto Lens, Geomagnetic sensor, Ultrasonic Fingerprint Sensor, Water-Resistant, Nano SIM, 4K Video Recording, Facial Recognition, Hall Effect Sensor, Wide-Angle Camera, Accelerometer, Ambient Light Sensor, Barometer, Ultra Wide-Angle Camera, Fast Charging, Triple Rear Camera
Camera Resolution
12.0 MP, 8.0 MP
Screen Size
6.5 in
Memory Card Type
MicroSD
RAM
6 GB
Additional Product Features
Manufacturer Color
Cloud Navy",6261455381bf2a3686a48948,"Bhaktapur, Thimi",Apple,mobiles,08/04/2021 16:50,https://res.cloudinary.com/xchange01/image/upload/v1651846090/DEV/1651846085543.jpg,62627d6688cecdbf6a5bc3f1
Samsung Galaxy S10+ Plus G975U1 T-Mobile ATT Sprint Verizon Unlocked - A+ Stock,23900,"About this product
Product Identifiers
Brand
Samsung
MPN
SM-G975UZKAXAA, SMG975UZKAXAA
GTIN
0887276302065
UPC
0887276302065, 0647213739039
Model
Samsung Galaxy S10+
eBay Product ID (ePID)
16029464580
Product Key Features
SIM Card Slot
Single SIM
Network
Unlocked
Operating System
Android
Storage Capacity
128 GB
Color
Black
Model Number
SM-G975U
Connectivity
USB Type-C, Bluetooth, 4G, Wi-Fi, NFC, GPS
Contract
Without Contract
Processor
Octa Core
Lock Status
Factory Unlocked
Features
Water-Resistant, Front Camera, Facial Recognition, 4K Video Recording, Gyro Sensor, Accelerometer, Barometer, Fingerprint Sensor, Wireless Charging
Camera Resolution
12.0 MP
Screen Size
6.4 in
Memory Card Type
MicroSD
RAM
8 GB
Additional Product Features
Brand Color
Prism Black
Manufacturer Color
Prism Black
Sim Card Support
Single SIM",6261455381bf2a3686a48948,"Bhaktapur, Thimi",Apple,mobiles,08/04/2021 16:50,https://res.cloudinary.com/xchange01/image/upload/v1651846090/DEV/1651846085543.jpg,62627d6626f1ca60399a0ed9
